PDB,KD1,KD2,Initials,Notes
2q3s,na,na,LL,
4blo,na,na,LL,
2uya,2249.7,2702.7,LL,"Kd1: int 2, Kd2: int 1"
3m81,454.7,1050.1,LL,"Kd1: int 9-14, Kd2: int 1-3"
4axi,na,na,LL,
6zqp,296.4,451.2,LL,"Kd1: int 4, Kd2: int 1"
4qnb,na,na,LL,
3js9,723.7,1030.9,LL,"Kd1: int 3-5, Kd2: int 1-2"
5h3l,na,na,LL,
1vlq,514.6,1083.3,LL,"Kd1: int 13,14,16,18,20,24, Kd2: int 4-6"
3sss,na,na,LL,
5kag,1397.7,455.7,LL,"Kd1: int 4,6,8-11, Kd2: int 25,28,30"
1u6k,327.5,3060.6,LL,"Kd1: int 6-8, Kd2: int 1-2"
3bf1,na,na,LL,
7m3w,1306.4,1080.7,LL,"Kd1: int 1-3, Kd2: int 4-5"
5m2k,na,na,LL,
1qv9,na,na,LL,
2hc9,1075.4,1366.8,LL,"Kd1: int 2, Kd2: int 1"
4dan,na,na,LL,
4o0n,872.2,1018.3,LL,"Kd1: int 7,8,12-14,18, Kd2: int 3,4,6"
1woi,1117.9,1151.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
1pr2,na,na,LL,
2p2l,443.6,394.1,LL,"Kd1: int 1-3, Kd2: int 4-5"
4bzz,495.7,1498.8,LL,"Kd1: int 3, Kd2: int 1"
1pr0,na,na,LL,
4ns3,499.7,4224.6,LL,"Kd1: int 7-12, Kd2: int 1-3"
2np9,1407.6,413.8,LL,"Kd1: int 1-3, Kd2: int 8-9"
3sce,1479.2,1209.4,LL,"Kd1: int 1-2, Kd2: int 3"
2af7,586.3,1270.7,LL,"Kd1: int 7,8,12-15, Kd2: int 1-3"
5huo,na,na,LL,
1cks,na,na,KG,
6qcd,718.95,1019.2,KG,"Kd1: int 2&3, Kd2: int1"
3bv8,na,na,KG,
3njh,na,na,KG,
3q9m,na,na,KG,PDBePISA could not find
2j4l,256.6,1316.8,LL,"Kd1: int 29,30,32-33, 35-36, Kd2: int 3,4,6"
3ior,na,na,KG,
6yaz,na,na,KG,
4ok9,na,na,LL,
1xx7,na,na,KG,
1a69,na,na,KG,
4da8,na,na,KG,
4rbu,na,na,KG,
4tld,na,na,KG,
1woh,1119.2,1012,KG,"Kd1: int 4-9, Kd2: int 1-3, 10-12"
2uy8,na,na,KG,
1wog,1114.5,1154.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
4ihi,446.1,4128.9,LL,"Kd1: int 2, Kd2: int 4"
1s59,860.4,959.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
4j6d,357,809.9,LL,"Kd1: int 6-7, Kd2: int 1 "
6tzp,2264.3,2794.4,LL,"Kd1: int 2, Kd2: int 1"
1rjm,1227.8,1042.2,LL,"Kd1: int 1-3, Kd2: int 4-5"
4ksi,na,na,LL,
4r2x,na,na,LL,
4udg,835.4,1255.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
4lzk,781.5,1402.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
3sxq,1528.5,1067.6,LL,"Kd1: int 1-2, Kd2: int 3"
6orm,na,na,LL,
3iqf,na,na,LL,
5cmr,na,na,LL,
1bhn,755,1027.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
2j4k,na,na,LL,
4hen,na,na,LL,PDBePISA could not find
5gyl,2673.6,1717.5,LL,"Kd1: int 1-3, Kd2: int 4-5"
4u0f,na,na,LL,
2vhj,na,na,LL,
2pg8,1411.2,410.3,LL,"Kd1: int 1-3, Kd2: int 8-9"
5lhu,984,1061,LL,"Kd1: int 3, Kd2: int 1"
3pbj,na,na,LL,
3iqe,332.3,2965.2,LL,"Kd1: int 13-18, Kd2: int 1-3"
3hbx,239.6,5210.8,LL,"Kd1: int 8-13, Kd2: int 1-3"
3a6l,na,na,LL,
2ewc,1096.1,431.7,LL,"Kd1: int 2,5,6, 9, 10,12, Kd2: int 13,15,18"
3io4,na,na,LL,
1dku,na,na,LL,
5i3c,na,na,LL,
1vlh,597.7,981.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
5hup,na,na,LL,
4tlb,na,na,LL,
4da7,na,na,LL,
1ou4,na,na,LL,
1pk7,na,na,LL,
6r6q,na,na,LL,
3qpb,na,na,LL,
6f5i,na,na,LL,
3inz,na,na,LL,
1pr6,na,na,LL,
1lcp,936.8,1470.6,LL,"Kd1: int 2-3, Kd2: int 1"
5lu0,na,na,LL,
6kin,1628.6,1032.6,LL,"Kd1: int 1-6, Kd2: int 7-9"
6pb3,na,na,LL,
4wss,na,na,LL,
1u6j,na,na,LL,
3a6e,na,na,LL,
4izc,2116.6,627,LL,"Kd1: int 1-2, Kd2: int 3"
7nlz,na,na,LL,
1q1g,na,na,LL,
1gq7,1112.8,946.1,LL,"Kd1: int 1-6, Kd2: int 7-9"
6xhr,na,na,LL,cool structure! 
4rj2,na,na,LL,
5lfd,na,na,LL,
2jkj,667.2,380.6,LL,"Kd1: int 1-2, Kd2: int 7"
6zsk,na,na,LL,
6to2,578.3,743,LL,"Kd1: int 2-3, Kd2: int 1"
3iqz,318.7,2971.5,LL,"Kd1: int 13-18, Kd2: int 1-3"
1w4b,na,na,LL,
3mfm,1372.8,4643.9,LL,"Kd1: int 4-9, Kd2: int 1-3"
1szo,1222.8,1242.9,LL,"Kd1: int 7-9,12,14-15, Kd2: int 1,5-6"
4p2s,na,na,LL,
5dyi,na,na,LL,
6g2u,1632.8,1151,LL,"Kd1: int 2-3,5, Kd2: int 7,9"
2jkl,649.7,355.5,LL,"Kd1: int 2-3, Kd2: 7"
4lem,493.4,4361.5,LL,"Kd1: int 7-12, Kd2: int 1-3"
4tl9,na,na,LL,
1pr5,na,na,LL,
2a10,na,na,LL,
1u6i,na,na,LL,
5xb7,2333,671.8,LL,"Kd1: int 1-6, Kd2: int 7-9"
4-Mar,na,na,LL,
2qea,na,na,LL,
5mx4,na,na,LL,
6yb2,na,na,LL,
1lam,964,1486.4,LL,"Kd1: int 2, Kd2: int 1"
4j6y,na,na,LL,
3ooe,na,na,LL,
1pr1,na,na,LL,
2ylc,na,na,LL,
1k9s,na,na,LL,
5ts2,581.1,1241.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
6yb0,na,na,LL,
3ehk,2639.9,2545.6,LL,"Kd1: int 1-6, KD2: int 7-9"
4kod,na,na,LL,
4h1h,325.5,1570,LL,"Kd1: int 4-5, Kd2: int 1"
2hrd,na,na,LL,
4h83,na,na,LL,
3mpw,na,na,LL,
1ucn,800.6,985.5,LL,"Kd1: int 3-5, Kd2: int 1-2"
4izb,1762.6,629.7,LL,"Kd1: int 1-2, Kd2: int 3"
3a6k,na,na,LL,
4ic5,765.5,160.7,LL,"Kd1: int 1-3, Kd2: int 6-7"
1wrn,na,na,LL,
6hih,na,na,LL,
5iu6,na,na,LL,
1dci,1874.2,1012.7,LL,"Kd1: int 1-3, Kd2: int 4-5"
6asv,328.9,1864.6,LL,"Kd1: int 6-8, Kd2: int 1-2"
1ssq,1344.9,534.4,LL,"Kd1: int 1-2, Kd2: int 3"
3ooh,na,na,LL,
2i1o,464.4,4126.2,LL,"Kd1: int 4, Kd2: int 1"
4ts3,na,na,LL,
3fcy,456.6,880.8,LL,"Kd1: int 5-7, Kd2: int 1-2"
4r31,na,na,LL,
2vhc,na,na,LL,
4ox7,na,na,LL,
1lan,958,1469.1,LL,"Kd1: int 2, Kd2: int 1"
5mr0,725.1,2325,LL,"Kd1: int 4-9, Kd2: int 1-3"
4huh,na,na,LL,
3k7r,na,na,LL,
4eo2,na,na,LL,
3opv,na,na,LL,
6eaj,2481.8,257,LL,"Kd1: int 1, Kd2: int 3"
2uyb,2267.4,2810.9,LL,"Kd1: int 2, Kd2: int 1"
6zu4,695.3,1017.3,LL,"Kd1: int 2-3, Kd2: int 1"
2di4,na,na,LL,
5nsk,961,1552.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
1pmm,489.7,4607.1,LL,"Kd1: int 7-12, Kd2: 1-3"
3fow,na,na,LL,
7lq3,387.2,1817.7,LL,"Kd1: int 5-7, Kd2: int 1-2"
6bwo,na,na,LL,
6f4w,na,na,LL,
6xz2,na,na,LL,
4wsr,na,na,LL,
5mfz,687.7,1019.3,LL,"Kd1: int 2-3, Kd2: int 1"
1pr4,na,na,LL,
5hgn,na,na,LL,
3h8y,na,na,LL,
2v8u,na,na,LL,
4ab1,501.5,1618.1,LL,"Kd1: int 2, Kd2: int 1"
2jkn,669.9,353.5,LL,"Kd1: int 1,5, Kd2: int 8"
5ui4,749.9,982.8,LL,"Kd1: int 4-9, Kd2: int 1-3"
4tta,na,na,LL,
5xty,2312.2,1934.9,LL,"Kd1: int 1-2, Kd2: int 3"
3d2m,353.5,1374,LL,"Kd1: int 6, Kd2: int 1"
1ov6,na,na,LL,
4izd,1988,625,LL,"Kd1: int 1-2, Kd2: int 3"
4tl8,na,na,LL,
4tle,na,na,LL,
1pw7,na,na,LL,
4tlc,na,na,LL,
2jjx,na,na,LL,
5gme,448.4,1354,LL,"Kd1: int 1, Kd2: int 3"
4jyj,1689.7,782.9,LL,"Kd1: int 1-2, Kd2: int 3"
6dhn,1843.5,1426.9,LL,"Kd1: int 1-6, Kd2: int 7-9"
1odi,na,na,LL,
5lht,981.3,1068.5,LL,"Kd1: int 3, Kd2: int 1"
6obh,na,na,LL,
4hh4,662.3,730.9,LL,"Kd1: int 1-6, Kd2: int 7-9"
4tti,na,na,LL,
3a6g,na,na,LL,
6bdc,na,na,LL,
2vre,1688.6,877.6,LL,"Kd1: int 1-3, Kd2: int 5-6"
6xuy,710.3,1059.9,LL,"Kd1: int 2-3, Kd2: int 1"
1pk9,na,na,LL,
5mx6,na,na,LL,
4idm,520.6,4144.4,LL,"Kd1: int 3, Kd2: int 1"
4nat,503.5,1073.7,LL,"Kd1: int 3-5, Kd2: int 1"
4ids,488.9,3973.4,LL,"Kd1: int 3, Kd2: int 1"
4okq,na,na,LL,
3occ,na,na,LL,
3d53,692.3,655.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
1s96,569.8,1581.7,LL,"Kd1: int 2-3, Kd2: int 1"
4nah,545.9,1135.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
6bhr,na,na,LL,
2h7c,488.2,1793.4,LL,"Kd1: int 11-16, Kd2: int 1-3"
6eak,2264.6,107.4,LL,"Kd1: int , Kd2: int 10"
5fuf,2230.1,1331.4,LL,"Kd1: int 1, Kd2: int 2"
1v7z,na,na,LL,
5lg5,na,na,LL,
3a6f,na,na,LL,
1nth,1007.5,1170.2,LL,"Kd1: int 2, Kd2: int 1"
6a7d,584.8,1174.2,LL,"Kd1: int 3, Kd2: int 1"
7lol,895.9,1111.3,LL,"Kd1: int 2, Kd2: int 1"
1y1q,na,na,LL,
3a9t,na,na,LL,
3ij3,na,na,LL,
3sll,1844.8,1151.3,LL,"Kd1: int 1-6, Kd2: int 7-9"
3mw9,na,na,LL,PDBePISA could not find
1nue,777.6,1013.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
1otx,na,na,LL,
4ttj,na,na,LL,
6eev,na,na,LL,
2z9h,na,na,LL,
3a6h,na,na,LL,
1ytd,505.9,4157.8,LL,"Kd1: int 2, Kd2: int 1"
3tlf,1937.2,993.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
2hvd,819.7,1037.1,LL,"Kd1: int 3-5, Kd2: int 1-2"
4ts9,na,na,LL,
4p7v,na,na,LL,
2dgm,na,na,LL,
1oty,na,na,LL,
5mf6,678.8,1011.3,LL,"Kd1: int 2,3, Kd2: int 1"
1vhw,na,na,LL,
1j2t,na,na,LL,
5nsm,na,na,LL,
3a9s,2122.9,1577.4,LL,"Kd1: int 1-3, Kd2: int 4-5"
6xv6,670.9,1088.8,LL,"Kd1: int 4-9, Kd2: int 1-3"
2hb6,1090.9,1350.4,LL,"Kd1: int 2-3, Kd2: int 1"
1yte,513.1,4188.4,LL,"Kd1: int 2, Kd2: int 1"
3nbk,544.1,1371.7,LL,"Kd1: int 4,6, Kd2: int 1"
4ip0,na,na,LL,
1q3k,na,na,LL,
5eki,na,na,LL,
3hin,na,na,LL,
3a6j,na,na,LL,
3a6d,na,na,LL,
1oum,na,na,LL,
4ox6,na,na,LL,
1z9d,na,na,LL,
7nls,na,na,LL,
1ytk,499,4225.1,LL,"Kd1: int 3, Kd2: int 1"
3qz6,955.8,1957.6,LL,"Kd1: int 2, Kd2: int 1"
4nau,547.2,1080.1,LL,"kd1: int 3-5, Kd2: int 1-2"
3gwj,1056.4,2274.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
2vht,na,na,LL,
1rxy,na,na,LL,
6kkh,1620.4,1001.7,LL,"Kd1: int 1,3,8, 9,11,12, Kd2: int 15-17"
3mqw,858.2,1075.4,LL,"Kd1: int 4-9, Kd2: int 1-3"
6qce,723.9,1023.8,LL,"Kd1: int 2-3, Kd2: int 1"
3njk,na,na,LL,
3ih6,716.7,473.6,LL,"Kd1: int 1-6, Kd2: int 7-9"
1j2u,na,na,LL,
1y7p,na,na,LL,
3mge,na,na,LL,
3fat,na,na,LL,
5dyg,na,na,LL,
4hud,na,na,LL,
2w4l,na,na,LL,
3rkh,na,na,LL,
1ekr,na,na,LL,
3eu9,na,na,LL,
2bri,na,na,LL,
2hve,812.9,1027.5,LL,"Kd1: int 3-5, Kd2: int 1-2"
4jli,na,na,LL,
3of3,na,na,LL,
3b8g,349.1,1359.9,LL,"Kd1: int 6, Kd2: int 1"
3ut6,na,na,LL,
1be4,777.8,1050.5,LL,"Kd1: int 3-5, Kd2: int 1-2"
6g65,na,na,LL,
5jib,410.3,1093.5,LL,"Kd1: int 8-13, Kd2: int 1-3 (4-6)"
3uu9,1479.4,1204.5,LL,"Kd1: int 1-2, Kd2: int 3"
6f52,na,na,LL,
5f42,na,na,LL,
6f5a,na,na,LL,
5c9v,346.5,1047.1,LL,"Kd1: int 4, Kd2: int 1"
2hd3,na,na,LL,
6axw,na,na,LL,
4xfx,na,na,LL,
4fw9,na,na,LL,
3mb8,na,na,LL,
4lql,1472.1,862.1,LL,"Kd1: int 1-6, Kd2: int 7-9"
2r98,351.1,1283.5,LL,"Kd1: int 6, Kd2: int 1"
3lgq,1506.8,1190,LL,"Kd1: int 1-2, Kd2: int 3"
5d6v,na,na,LL,
4fwg,na,na,LL,
2bzr,1415.9,4593.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
4l7z,1525,1047.1,LL,"Kd1: int 1-6, Kd2: int 7-9"
6bwq,na,na,LL,
1ovg,na,na,LL,
5v5f,na,na,LL,
2qeu,559.4,1309.1,LL,"Kd1: int 4-6, Kd2: int 1-2"
1s2d,901.4,1740.3,LL,"Kd1: int 3-5, Kd2: int 1-2"
3mcu,592.9,975.4,LL,"Kd1: int 4-9, Kd2: int 1-3"
4pke,77.7,387.5,LL,"Kd1: int 6, Kd2: int 2"
2v78,643.2,1084.7,LL,"Kd1: int 3-5, Kd2: int 1-2"
4q5b,1494.6,1173.1,LL,"Kd1: int 1-2, Kd2: int 3"
6scr,na,na,LL,
5fdf,na,na,LL,
2xus,na,na,LL,
3a9r,2114.5,1576.9,LL,"Kd1: int 1-3, Kd2: int 4-5"
6zt6,na,na,LL,
6rft,672.2,1993.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
2ch8,na,na,LL,
6k27,586.6,649.2,LL,"Kd1: int 6-7, Kd2: int 4"
1s2i,884.6,1718.6,LL,"Kd1: int 3-5, Kd2: int 1-2"
5i21,na,na,LL,
2var,673,1081.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
1lap,na,na,LL,
4jq6,na,na,LL,
3qn0,688.1,704.3,LL,"Kd1: int 1-6, Kd2: int 7-9"
3abf,578.2,946.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
1xey,na,na,LL,
3m20,576,929.8,LL,"Kd1: int 3-5, Kd2: int 1-2"
4udi,818.7,1313.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
6k21,632,657.8,LL,"Kd1: int 2, Kd2: int 1"
2bnf,na,na,LL,
3d19,511.3,1367,LL,"Kd1: int 7-12, Kd2: int 1-3"
4tl6,na,na,LL,
6k9e,na,na,LL,
2yht,na,na,LL,
5era,na,na,LL,
5jpa,na,na,LL,
1k3f,na,na,LL,
1s2g,880.8,1703.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
4q5c,1496.9,1178.8,LL,"Kd1: int 1-2, Kd2: int 3"
1yq2,1187.3,1252.3,LL,"Kd1: int 4-9, Kd2: int 1-3"
6gwk,na,na,LL,
2igt,na,na,LL,
5h4f,682.8,675.7,LL,"Kd1: int 1-2, kd2: int 3"
3s7w,1480.8,563.6,LL,"Kd1: int 1-2, kd2: int 3"
6kkw,608.1,1243,LL,"Kd1: int 3, Kd2: int 1"
4q4u,1493,1177.5,LL,"Kd1: int 1-2, Kd2: int 3"
7nlw,na,na,LL,
1wz8,1395.6,652.4,LL,"Kd1: int 1-6, Kd2: int 7-9"
3ktn,1367.1,1209,LL,"Kd1: int 1, Kd2: int 2"
4mtu,na,na,LL,
6dhd,1884.3,1404.5,LL,"Kd1: int 1-6, Kd2: int 7-9"
7kri,184.8,1105.1,LL,"Kd1: int 7-9, Kd2: int 1-2"
3d2p,483.8,2191.6,LL,"Kd1: int 5-6, Kd2: int 1"
1xny,1325,4587,LL,"Kd1: int 2-3, Kd2: int 1"
2bty,na,na,LL,
4l3z,1488.9,1186.9,LL,"Kd1: int 1-2, Kd2: int 3"
4hgy,582.1,821.5,LL,"Kd1: int 5-10, Kd2: int 1-3"
5ls0,792.3,689.7,LL,"Kd1: int 1-2, Kd2: int 3"
3ngk,na,na,LL,
3els,335,835.2,LL,"Kd1: int 4, Kd2: int 2"
3i4q,572.6,650.9,LL,"Kd1: int 2, Kd2: int 1"
4otc,na,na,LL,
4l3y,1487,1189.5,LL,"Kd1: int 1-2, Kd2: int 3"
3nip,1182.2,985.6,LL,"Kd1: int 1-6, Kd2: int 7-9"
2ouw,na,na,LL,
2ide,na,na,LL,
4zw0,na,na,LL,
4l3x,1491.4,1193.6,LL,"Kd1: int 1-2, Kd2: int 3"
1u1t,na,na,LL,
5lhj,na,na,LL,
2vhu,na,na,LL,
4jri,na,na,LL,
1xnv,1342.4,4701.8,LL,"Kd1: int 2-3, Kd2: int 1"
6a75,535.7,1172.8,LL,"Kd1: int 4, Kd2: int 1"
6pk5,784.4,352.3,LL,"Kd1: int 1-6, Kd2: int 7-9"
1s2l,813,1592,LL,"Kd1: int 3-5, Kd2: int 1-2"
5aye,898.6,1318.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
1gyt,na,na,LL,
4hwg,1209.9,1353.6,LL,"Kd1: int 2, Kd2: int 1"
3ld3,653.2,694.2,LL,"Kd1: int 2-3, Kd2: int 1"
3rfx,541.1,1410.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
1s3f,879.6,1645.6,LL,"Kd1: int 3-5, Kd2: int 1-2"
1wvc,na,na,LL,
4b5w,848.3,1389.4,LL,"Kd1: int 4-9, Kd2: int 1-3"
7nlx,na,na,LL,
2y90,na,na,LL,
5txv,na,na,LL,
4i2v,na,na,LL,
4fcc,na,na,LL,
6dhl,1883.7,1601.8,LL,"Kd1: int 3,5,7-10, Kd2: int 14,16=17"
1i6t,657.7,703,LL,"Kd1: int 2, Kd2: int 1"
1l1f,1596.1,1470.8,LL,"Kd1: int 1-6, Kd2: int 7-9"
1q0k,na,na,LL,
2bm8,na,na,LL,
1u1g,na,na,LL,
1odk,na,na,LL,
5mgn,684.4,1013.7,LL,"Kd1: int 2-3, Kd2: int 1"
1twl,711.8,713.9,LL,"Kd1: int 2, Kd2: int 1"
2au9,680.8,702.3,LL,"Kd1: int 2, Kd2: int 1"
3pzl,na,na,LL,
4l38,1486.8,1193.8,LL,"Kd1: int 1-2, Kd2: int 3"
2ixd,na,na,LL,
1mx1,485.7,1861.3,LL,"Kd1: int 5-10, Kd2: int 1-3"
1ljo,na,na,LL,
6ome,na,na,LL,
6dhk,1855.1,1355.3,LL,"Kd1: int 2,3,7,8,11,12, Kd2: int 13,14,17"
5xvi,1035.1,1520.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
2a7s,1357.8,4791.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
4qie,na,na,LL,
3jqk,na,na,LL,
6k1g,1437.4,1929,LL,"Kd1: int 1-6, Kd2: int 7-9"
6ki8,573,659.1,LL,"Kd1: int 3-5, Kd2: int 1-2"
6ov8,na,na,LL,
4q17,1492.8,1180,LL,"Kd1: int 1-2, Kd2: int 3"
4q1o,1492.8,1180,LL,"Kd1: int 1-2, Kd2: int 3"
3ltq,na,na,LL,
4f3r,523.5,1227.1,LL,"Kd1: int 4, Kd2: int 1"
3s0m,2261.1,2708.1,LL,"Kd1: int 2, Kd2: int 1"
6oad,na,na,LL,
4b5s,789.6,1290,LL,"Kd1: int 2-3, Kd2: int 1"
3ddo,na,na,LL,
5szy,na,na,LL,
6f4x,na,na,LL,
3l7u,na,na,LL,
2brx,na,na,LL,
3c74,na,na,LL,
1rxc,na,na,LL,
1m8j,461.6,777.5,LL,"Kd1: int 3, Kd2: int 1"
2hwu,na,na,LL,
4axj,na,na,LL,
7cnv,na,na,LL,
1tgv,na,na,LL,
4jdc,1568.7,4241.3,LL,"Kd1: int 2, Kd2: int 1"
5lt5,880.4,1068.5,LL,"Kd1: int 2-3, Kd2: int 1"
3gm6,1500.7,1197.2,LL,"Kd1: int 1-2, Kd2: int 3"
2ymk,na,na,LL,
3nt6,na,na,LL,
4udj,844.5,1270.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
2r8v,356.3,1341.8,LL,"Kd1: int 6,  Kd2: int 1"
1w57,1217.6,1567.7,LL,"Kd1: int 2, Kd2: int 1"
3mmo,1457.4,1187.1,LL,"Kd1: int 1-2, Kd2: int 3"
7nnb,na,na,LL,
1nsf,na,na,LL,
6vst,879.4,1576,LL,"Kd1: int 7,11-13,16,18, Kd2: int 1,4-5"
5lhk,na,na,LL,
2oxf,na,na,LL,
1y1s,na,na,LL,
7p1z,na,na,LL,Cool structure here! 
2bm9,na,na,LL,
4q0t,1499.9,1183.4,LL,"Kd1: int 1-2, Kd2: int 3"
1xiq,829,1032.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
3niq,1122.5,980.8,LL,"Kd1: int 1-2, Kd2: int 3"
2au6,678.7,662,LL,"Kd1: int 1, Kd2: int 2"
3x1k,na,na,LL,
1xsi,981.4,1927.1,LL,"Kd1: int 4-9, Kd2: int 1-3"
2vnt,na,na,LL,
4e1v,na,na,LL,
6xp7,794.7,954.3,LL,"Kd1: int 3-5, Kd2: int 1-2"
4ien,na,na,LL,
1u1f,na,na,LL,
1cla,1089.5,196.1,LL,"Kd1: int 1, Kd2: int 4"
1zs6,821.5,1217.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
5tjr,na,na,LL,
4y8a,na,na,LL,
6xpv,814.2,950,LL,"Kd1: int 4-9, Kd2: int 1-3"
4di6,1054.2,1003.3,LL,"Kd1: int 1-6, Kd2: int 7-9"
1i40,691.2,711.1,LL,"Kd1: int 2, Kd2: int 1"
1eks,na,na,LL,
3sps,na,na,LL,
3qmu,na,na,LL,PDBePISA could not find
5zai,1960.5,547.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
6shk,na,na,LL,
2j6p,na,na,LL,
6xps,812.1,953.4,LL,"Kd1: int 3-5, Kd2: int 1-2"
6xpt,809.6,949.9,LL,"Kd1: int 4-9, Kd2: int 1-3"
4ogk,na,na,LL,
1xo6,1320.8,4659.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
2vr5,811.4,1374.3,LL,"Kd1: int 2-3, Kd2: int 1"
4uof,709.7,1049.9,LL,"Kd1: int 3-5, Kd2: int 1-2"
2ohd,na,na,LL,
1k32,na,na,LL,
6i1j,na,na,LL,
5ilb,1057,1390.7,LL,"Kd1: int 2-3, Kd2: int 1"
1v8d,na,na,LL,
3q41,715.6,1271.7,LL,"Kd1: int 3-5, Kd2: int 1-2"
2hn9,na,na,LL,
1dab,na,na,LL,This one deserves that name lol 
5v3a,na,na,LL,
4fwd,na,na,LL,
6k3h,798.1,924.4,LL,"Kd1: int 14, 16,20,30,33,35, Kd2: int 8,9,11"
3lqk,601.2,873.4,LL,"Kd1: int 3, Kd2: int 1"
2i8a,na,na,LL,
6hj4,520.2,583.2,LL,"Kd1: int 2, Kd2: int 1"
6xpu,800,954.3,LL,"Kd1: int 3-5, Kd2: int 1-2"
1zl2,na,na,LL,
4j4x,na,na,LL,
3q46,797,710.1,LL,"Kd1: int 1, Kd2: int 2"
1z73,401.9,1746.3,LL,"Kd1: int 2, Kd2: int 1"
1jh6,na,na,LL,
2rj3,na,na,LL,
4tym,na,na,LL,
1u1s,na,na,LL,
4j6x,na,na,LL,
1hk9,na,na,LL,
3f29,1490,1198.8,LL,"Kd1: int 1-2, Kd2: int 3"
5znc,na,na,LL,
2fg9,na,na,LL,
3qui,na,na,LL,
3fwp,na,na,LL,
2gth,1182,804.7,LL,"Kd1: int 1, Kd2: int 2"
1u1e,na,na,LL,
4m6t,na,na,LL,
3mvo,na,na,LL,PDBePISA could not find
1ej2,582.8,787.1,LL,"Kd1: int 2, Kd2: int 1"
1y1r,na,na,LL,
2ddz,350.4,2015.8,LL,"Kd1: int 7-12, Kd2: int 1-3"
6qmh,565.8,1027.9,LL,"Kd1: int 2, Kd2: int 1"
6g7u,565.8,1027.9,LL,"Kd1: int 2, Kd2: int 1"
4rcc,na,na,LL,
1y1t,na,na,LL,
2f2h,951.6,1888.3,LL,"Kd1: int 4-9, Kd2: int 1-3"
3r5u,796.1,715.6,LL,"kd1: int 1-2, Kd2: int 3"
1pku,854,980.4,LL,"Kd1: int 10-13,16-17, Kd2: int 2,5,6"
3nba,583.7,1093.7,LL,"Kd1: int 6-7, Kd2: int 2"
6vww,na,na,LL,
2auu,665.3,710.8,LL,"Kd1: int 2, Kd2: int 1"
2an9,501.1,1629.1,LL,"Kd1: int 2-3, Kd2: int 1"
2qdk,na,na,LL,
5ayd,901.7,1319.8,LL,"Kd1: int 4-9, Kd2: int 1-3"
5o0d,563.5,1140.7,LL,"Kd1: int 3-5, Kd2: int 1-2"
5t02,na,na,LL,
7nlq,na,na,LL,
1rxu,na,na,LL,
2pbp,1993.1,788.6,LL,"Kd1: int 1, Kd2: int 2"
6axt,na,na,LL,
3o6v,na,na,LL,
1vhj,na,na,LL,
3d1i,1476.6,1192.5,LL,"Kd1: int 1-2, Kd2: int 3"
6agy,741.7,951.4,LL,"Kd1: int 2, Kd2: int 1"
3t3w,1224.7,811.8,LL,"Kd1: int 1-6, Kd2: int 7-9"
2cqz,na,na,LL,
1xsk,958,1917.3,LL,"Kd1: int 4-9, Kd2: int 1-3"
5o0b,567.4,1089.1,LL,"Kd1: int 3-5, Kd2: int 1-2"
7nlf,na,na,LL,
3q4w,794.6,709.6,LL,"Kd1: int 1, Kd2: int 2"
6xv1,705.4,1038.2,LL,"Kd1: int 2-3, Kd2: int 1"
4hzd,1247.2,379,LL,"Kd1: int 1-2, Kd2: int 3"
6xp4,819.7,946.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
4j5y,na,na,LL,
6yca,746.2,2010.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
1xsj,983.4,1958.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
2oec,na,na,LL,
3mpd,706.1,1076.9,LL,"Kd1: int 2-3, Kd2: int 1"
5o0h,533.4,1139.4,LL,"Kd1: int 3-5, Kd2: int 1-2"
3emj,611.3,690.5,LL,"Kd1: int 8,9,13-15, 17, Kd2: int 1,5,6"
6kww,na,na,LL,
5c6b,na,na,LL,
